0/24. outside-acc=0.968609865470852, orient=9, pix_per_cell=4, cell_per_block=1
1/24. outside-acc=0.976457399103139, orient=9, pix_per_cell=4, cell_per_block=2
2/24. outside-acc=0.9551569506726457, orient=9, pix_per_cell=8, cell_per_block=1
3/24. outside-acc=0.9652466367713004, orient=9, pix_per_cell=8, cell_per_block=2
4/24. outside-acc=0.9439461883408071, orient=9, pix_per_cell=16, cell_per_block=1
5/24. outside-acc=0.9495515695067265, orient=9, pix_per_cell=16, cell_per_block=2
6/24. outside-acc=0.9663677130044843, orient=12, pix_per_cell=4, cell_per_block=1
7/24. outside-acc=0.976457399103139, orient=12, pix_per_cell=4, cell_per_block=2
8/24. outside-acc=0.9573991031390134, orient=12, pix_per_cell=8, cell_per_block=1
9/24. outside-acc=0.9652466367713004, orient=12, pix_per_cell=8, cell_per_block=2
10/24. outside-acc=0.9473094170403588, orient=12, pix_per_cell=16, cell_per_block=1
11/24. outside-acc=0.9585201793721974, orient=12, pix_per_cell=16, cell_per_block=2
12/24. outside-acc=0.9618834080717489, orient=15, pix_per_cell=4, cell_per_block=1
13/24. outside-acc=0.9652466367713004, orient=15, pix_per_cell=4, cell_per_block=2
14/24. outside-acc=0.9618834080717489, orient=15, pix_per_cell=8, cell_per_block=1
15/24. outside-acc=0.9708520179372198, orient=15, pix_per_cell=8, cell_per_block=2
16/24. outside-acc=0.9506726457399103, orient=15, pix_per_cell=16, cell_per_block=1
17/24. outside-acc=0.9495515695067265, orient=15, pix_per_cell=16, cell_per_block=2
18/24. outside-acc=0.9641255605381166, orient=18, pix_per_cell=4, cell_per_block=1
19/24. outside-acc=0.9742152466367713, orient=18, pix_per_cell=4, cell_per_block=2
20/24. outside-acc=0.9562780269058296, orient=18, pix_per_cell=8, cell_per_block=1
21/24. outside-acc=0.968609865470852, orient=18, pix_per_cell=8, cell_per_block=2
22/24. outside-acc=0.9540358744394619, orient=18, pix_per_cell=16, cell_per_block=1
23/24. outside-acc=0.9596412556053812, orient=18, pix_per_cell=16, cell_per_block=2
